"Parent";"Nom_balise";"nb_fic";"nb_tot_agg";"min";"max";"type_balise";"type_balise_old";"Nouvelle_valeur"
"Concept";"CASN1Name";2;479;1;1;"simple_chemin";"simple_chemin";"NON"
"Concept";"ConceptUI";2;2454;1;10;"multiple";"multiple";"NON"
"Concept";"RegistryNumber";2;2118;1;8;"multiple";"multiple";"NON"
"ConceptName";"String";2;2454;1;10;"multiple";"multiple";"NON"
"ConceptRelation";"Concept1UI";2;908;2;18;"multiple";"multiple";"NON"
"ConceptRelation";"Concept2UI";2;908;2;18;"multiple";"multiple";"NON"
"DateCreated";"Day";2;3147;1;11;"multiple";"multiple";"NON"
"DateCreated";"Month";2;3147;1;11;"multiple";"multiple";"NON"
"DateCreated";"Year";2;3147;1;11;"multiple";"multiple";"NON"
"DateRevised";"Day";2;1512;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Month";2;1512;1;1;"simple_date";"simple_date";"NON"
"DateRevised";"Year";2;1512;1;1;"simple_date";"simple_date";"NON"
"DescriptorName";"String";2;2947;1;8;"multiple";"multiple";"NON"
"DescriptorReferredTo";"DescriptorUI";2;2947;1;8;"multiple";"multiple";"NON"
"PreviousIndexingList";"PreviousIndexing";2;925;1;6;"multiple";"multiple";"NON"
"QualifierName";"String";2;461;1;2;"multiple";"multiple";"NON"
"QualifierReferredTo";"QualifierUI";2;461;1;2;"multiple";"multiple";"NON"
"RelatedRegistryNumberList";"RelatedRegistryNumber";2;110;1;8;"multiple";"multiple";"NON"
"SourceList";"Source";2;2198;1;16;"multiple";"multiple";"NON"
"SupplementalRecord";"Frequency";2;2000;1;1;"simple_chemin";"simple_chemin";"NON"
"SupplementalRecord";"Note";2;1462;1;1;"simple_chemin";"simple_chemin";"NON"
"SupplementalRecord";"SupplementalRecordUI";2;2000;1;1;"simple_chemin";"simple_chemin";"NON"
"SupplementalRecordName";"String";2;2000;1;1;"simple_chemin";"multiple";"NON"
"Term";"String";2;3812;1;13;"multiple";"multiple";"NON"
"Term";"TermUI";2;3812;1;13;"multiple";"multiple";"NON"
"ThesaurusIDlist";"ThesaurusID";2;3829;1;16;"multiple";"multiple";"NON"
