"Parent";"Nom_balise";"nb_fic";"nb_tot_agg";"min";"max";"type_balise"
"DescriptorName";"String";1;553;1;1;"simple_chemin"
"DescriptorReferredTo";"DescriptorUI";1;553;1;1;"simple_chemin"
"RecordName";"String";1;36399;1;2466;"multiple"
"Substance";"RecordUI";1;36399;1;2466;"multiple"
