"recherche_id";"fetch_id";"test_NCT";"date_check_nct";"lot"
"35105587";TRUE;TRUE;"2022-02-04 22:54:53";"LOT_20220204225447"
"35105576";TRUE;TRUE;"2022-02-04 22:54:53";"LOT_20220204225447"
"35105573";TRUE;TRUE;"2022-02-04 22:54:53";"LOT_20220204225447"
"35105572";TRUE;TRUE;"2022-02-04 22:54:53";"LOT_20220204225447"
"35105560";TRUE;TRUE;"2022-02-04 22:54:53";"LOT_20220204225447"
"35105559";TRUE;TRUE;"2022-02-04 22:54:53";"LOT_20220204225447"
"35105522";TRUE;TRUE;"2022-02-04 22:54:53";"LOT_20220204225447"
"35105339";TRUE;TRUE;"2022-02-04 22:54:53";"LOT_20220204225447"
"35105329";TRUE;TRUE;"2022-02-04 22:54:53";"LOT_20220204225447"
"35105318";TRUE;TRUE;"2022-02-04 22:54:54";"LOT_20220204225447"
"35105307";TRUE;TRUE;"2022-02-04 22:54:54";"LOT_20220204225447"
"35105182";TRUE;TRUE;"2022-02-04 22:54:54";"LOT_20220204225447"
"35105153";TRUE;TRUE;"2022-02-04 22:54:54";"LOT_20220204225447"
"35104297";TRUE;TRUE;"2022-02-04 22:54:54";"LOT_20220204225447"
"35104158";TRUE;TRUE;"2022-02-04 22:54:54";"LOT_20220204225447"
"35104057";TRUE;TRUE;"2022-02-04 22:54:54";"LOT_20220204225447"
"35103828";TRUE;TRUE;"2022-02-04 22:54:54";"LOT_20220204225447"
"35103767";TRUE;TRUE;"2022-02-04 22:54:54";"LOT_20220204225447"
"35103766";TRUE;TRUE;"2022-02-04 22:54:55";"LOT_20220204225447"
"35103609";TRUE;TRUE;"2022-02-04 22:54:55";"LOT_20220204225447"
"35103604";TRUE;TRUE;"2022-02-04 22:54:55";"LOT_20220204225447"
"35103547";TRUE;TRUE;"2022-02-04 22:54:55";"LOT_20220204225447"
"35103064";TRUE;TRUE;"2022-02-04 22:54:55";"LOT_20220204225447"
"35103059";TRUE;TRUE;"2022-02-04 22:54:55";"LOT_20220204225447"
"35103026";TRUE;TRUE;"2022-02-04 22:54:55";"LOT_20220204225447"
"35102782";TRUE;TRUE;"2022-02-04 22:54:55";"LOT_20220204225447"
"35102676";TRUE;TRUE;"2022-02-04 22:54:55";"LOT_20220204225447"
"35102518";TRUE;TRUE;"2022-02-04 22:54:55";"LOT_20220204225447"
"35102374";TRUE;TRUE;"2022-02-04 22:54:55";"LOT_20220204225447"
"35102369";TRUE;TRUE;"2022-02-04 22:54:55";"LOT_20220204225447"
"35102365";TRUE;TRUE;"2022-02-04 22:54:55";"LOT_20220204225447"
"35102226";TRUE;TRUE;"2022-02-04 22:54:56";"LOT_20220204225447"
"35102001";TRUE;TRUE;"2022-02-04 22:54:56";"LOT_20220204225447"
"35101969";TRUE;TRUE;"2022-02-04 22:54:56";"LOT_20220204225447"
"35101942";TRUE;TRUE;"2022-02-04 22:54:56";"LOT_20220204225447"
"35101886";TRUE;TRUE;"2022-02-04 22:54:56";"LOT_20220204225447"
"35101860";TRUE;TRUE;"2022-02-04 22:54:56";"LOT_20220204225447"
"35101724";TRUE;TRUE;"2022-02-04 22:54:56";"LOT_20220204225447"
"35101711";TRUE;TRUE;"2022-02-04 22:54:56";"LOT_20220204225447"
"35101540";TRUE;TRUE;"2022-02-04 22:54:56";"LOT_20220204225447"
"35101419";TRUE;TRUE;"2022-02-04 22:54:56";"LOT_20220204225447"
"35101266";TRUE;TRUE;"2022-02-04 22:54:56";"LOT_20220204225447"
"35101175";TRUE;TRUE;"2022-02-04 22:54:56";"LOT_20220204225447"
"35101133";TRUE;TRUE;"2022-02-04 22:54:56";"LOT_20220204225447"
"35101120";TRUE;TRUE;"2022-02-04 22:54:57";"LOT_20220204225447"
"35101117";TRUE;TRUE;"2022-02-04 22:54:57";"LOT_20220204225447"
"35101115";TRUE;TRUE;"2022-02-04 22:54:57";"LOT_20220204225447"
"35101110";TRUE;TRUE;"2022-02-04 22:54:57";"LOT_20220204225447"
"35101100";TRUE;TRUE;"2022-02-04 22:54:57";"LOT_20220204225447"
"35101098";TRUE;TRUE;"2022-02-04 22:54:57";"LOT_20220204225447"
"35101085";TRUE;TRUE;"2022-02-04 22:54:57";"LOT_20220204225447"
"35101083";TRUE;TRUE;"2022-02-04 22:54:57";"LOT_20220204225447"
"35101049";TRUE;TRUE;"2022-02-04 22:54:57";"LOT_20220204225447"
"35100923";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
"35100917";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
"35100758";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
"35100752";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
"35100750";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
"35100697";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
"35100692";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
"35097222";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
"35100411";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
"35100339";TRUE;TRUE;"2022-02-04 22:54:58";"LOT_20220204225447"
