"id";"Test_Nbrows";"Date_Traitement";"XML_Source"
"Q000378";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000379";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000382";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000401";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000451";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000453";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000458";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000469";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000472";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000473";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000493";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000494";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000502";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000503";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000506";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000517";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000523";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000528";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000532";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000534";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000556";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000592";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000600";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000601";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000627";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000628";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000633";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000635";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000637";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000639";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000648";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000652";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000662";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000706";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000737";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000819";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000821";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
"Q000941";TRUE;"20220202203238";"QUAL_20220202203238.RDS"
